127.0.0.1 - - [13/May/2024:23:17:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/ HTTP/1.1" 200 24039
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/bg-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/Homepag.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/car-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/blackcar@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/about@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/oil2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/tyre%20instalation.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/Air-conditioning.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/Sam1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/devid.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:21 +0530] "GET /Garage_Management/imge/alisa1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:17:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:27 +0530] "GET /Garage_Management/Adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:27 +0530] "GET /Garage_Management/Adminlogincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:44 +0530] "POST /Garage_Management/AdminLogin HTTP/1.1" 200 3226
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:44 +0530] "GET /Garage_Management/PanelCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:44 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:44 +0530] "GET /Garage_Management/imge/carhd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:52 +0530] "GET /Garage_Management/ViewAdmin.jsp HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [13/May/2024:23:18:52 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:19:08 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [13/May/2024:23:19:08 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:21:37 +0530] "GET /Garage_Management/EmplyeeAdd.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [13/May/2024:23:21:37 +0530] "GET /Garage_Management/Addemploye.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:21:38 +0530] "GET /Garage_Management/imge/naturalgraphy@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:23:40 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [13/May/2024:23:23:40 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:23:48 +0530] "GET /Garage_Management/EmplyeeAdd.jsp HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [13/May/2024:23:23:48 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:30 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:30 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:34 +0530] "GET /Garage_Management/EmplyeeAdd.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:47 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:47 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:50 +0530] "GET /Garage_Management/BookAppointment.jsp HTTP/1.1" 200 8004
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:50 +0530] "GET /Garage_Management/BookAppointment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:23:24:50 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:25:42 +0530] "GET /Garage_Management/BookAppointment.jsp HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [13/May/2024:23:26:01 +0530] "GET /Garage_Management/BookAppointment.jsp HTTP/1.1" 200 8004
0:0:0:0:0:0:0:1 - - [13/May/2024:23:26:01 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:26:09 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [13/May/2024:23:26:09 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:28:15 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5648
0:0:0:0:0:0:0:1 - - [13/May/2024:23:28:15 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:28:20 +0530] "GET /Garage_Management/ViewCustomer.jsp HTTP/1.1" 200 4990
0:0:0:0:0:0:0:1 - - [13/May/2024:23:28:20 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:47:58 +0530] "GET /Garage_Management/ViewCustomer.jsp HTTP/1.1" 200 5011
0:0:0:0:0:0:0:1 - - [13/May/2024:23:47:58 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:48:08 +0530] "GET /Garage_Management/ViewCustomer.jsp HTTP/1.1" 200 5011
0:0:0:0:0:0:0:1 - - [13/May/2024:23:48:08 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:49:33 +0530] "GET /Garage_Management/ViewCustomer.jsp HTTP/1.1" 200 5042
0:0:0:0:0:0:0:1 - - [13/May/2024:23:49:33 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:49:37 +0530] "GET /Garage_Management/ViewVehicles.jsp HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [13/May/2024:23:49:37 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [13/May/2024:23:50:56 +0530] "GET /Garage_Management/ViewAppointment.jsp HTTP/1.1" 200 5679
0:0:0:0:0:0:0:1 - - [13/May/2024:23:50:56 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
