127.0.0.1 - - [08/Apr/2024:23:02:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:02:45 +0530] "GET /PetrolPump/AdminDashboard.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:02:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:17:55 +0530] "GET /PetrolPump/AdminDashboard.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:17:56 +0530] "GET /PetrolPump/CSS/AdminDashboardStyle.css HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:17:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:20:01 +0530] "GET /PetrolPump/AdminDashboard.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:20:01 +0530] "GET /PetrolPump/CSS/AdminDashboardStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:20:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:22:36 +0530] "GET /PetrolPump/AdminDashboard.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:22:36 +0530] "GET /PetrolPump/CSS/AdminDashboardStyle.css HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:22:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:23:11 +0530] "GET /PetrolPump/AdminDashboard.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:23:11 +0530] "GET /PetrolPump/CSS/AdminDashboardStyle.css HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [08/Apr/2024:23:23:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
