127.0.0.1 - - [08/May/2024:10:48:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/ HTTP/1.1" 200 24039
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/car-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/Homepag.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/bg-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/blackcar@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/about@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/oil2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/tyre%20instalation.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/Air-conditioning.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/Sam1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/devid.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:21 +0530] "GET /Garage_Management/imge/alisa1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:27 +0530] "GET /Garage_Management/Adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:27 +0530] "GET /Garage_Management/Adminlogincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:43 +0530] "POST /Garage_Management/AdminLogin HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:43 +0530] "GET /Garage_Management/PanelCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:43 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:47 +0530] "GET /Garage_Management/AdminRegistration.jsp HTTP/1.1" 200 6938
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:47 +0530] "GET /Garage_Management/AdminRegistration.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:10:48:47 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
