127.0.0.1 - - [23/May/2024:21:47:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:01 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp HTTP/1.1" 500 2325
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:55 +0530] "GET /Garage_Management/ViewSpearParts.jsp HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:56 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:56 +0530] "GET /Garage_Management/PanelCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:56 +0530] "GET /Garage_Management/imge/carhd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:49:19 +0530] "GET /Garage_Management/ViewSpearParts.jsp HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [23/May/2024:21:49:19 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [23/May/2024:21:50:36 +0530] "GET /Garage_Management/ViewSpearParts.jsp HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [23/May/2024:21:50:36 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [23/May/2024:21:53:59 +0530] "GET /Garage_Management/ViewSpearParts.jsp HTTP/1.1" 200 7635
0:0:0:0:0:0:0:1 - - [23/May/2024:21:53:59 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:03 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=s HTTP/1.1" 500 2325
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:03 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=se HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:04 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=sea HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:05 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=sear HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:06 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=sea HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:06 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=se HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:06 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName=s HTTP/1.1" 500 2906
0:0:0:0:0:0:0:1 - - [23/May/2024:21:54:06 +0530] "GET /Garage_Management/SearchSpearPartsByName.jsp?spearPartName= HTTP/1.1" 500 2906
