127.0.0.1 - - [04/May/2024:09:55:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/ HTTP/1.1" 200 24039
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/Homepag.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/car-logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/bg-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/about@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/blackcar@.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/oil2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/tyre%20instalation.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/Air-conditioning.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/Sam1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/devid.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:50 +0530] "GET /Garage_Management/imge/alisa1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:55:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/May/2024:09:56:42 +0530] "GET /Garage_Management/Adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:09:56:42 +0530] "GET /Garage_Management/Adminlogincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:10:18:07 +0530] "GET /Garage_Management/ HTTP/1.1" 200 24039
0:0:0:0:0:0:0:1 - - [04/May/2024:10:18:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:26 +0530] "POST /Garage_Management/AdminLogin HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:38 +0530] "POST /Garage_Management/AdminLogin HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:38 +0530] "GET /Garage_Management/PanelCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:38 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:39 +0530] "GET /Garage_Management/Panel.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:52 +0530] "GET /Garage_Management/AdminRegistration_Demo.jsp HTTP/1.1" 200 3811
0:0:0:0:0:0:0:1 - - [04/May/2024:10:19:52 +0530] "GET /Garage_Management/AdminRegistration_Demo.css HTTP/1.1" 304 -
